Time (ns)	|TDR_BPI(1,1,0,1,1,0)|[*] : ToTimeDomain
87.2857	0.000293564
87.4286	0.000303495
87.5714	0.000299063
87.7143	0.000293056
87.8571	0.000293154
88	0.00030003
88.1429	0.000298178
88.2857	0.000300879
88.4286	0.000287918
88.5714	0.000283742
88.7143	0.000287149
88.8571	0.000295627
89	0.00029424
89.1429	0.000302281
89.2857	0.000295115
89.4286	0.00029153
89.5714	0.000296246
89.7143	0.000291356
89.8571	0.000291909
90	0.000293798
90.1429	0.000295381
90.2857	0.000301318
90.4286	0.000301519
90.5714	0.000296593
90.7143	0.000304289
90.8571	0.000294916
91	0.00030031
91.1429	0.000295934
91.2857	0.000310787
91.4286	0.000295876
91.5714	0.000293457
91.7143	0.000301496
91.8571	0.000296165
92	0.000301927
92.1429	0.0002982
92.2857	0.000298097
92.4286	0.000286166
92.5714	0.000294072
92.7143	0.000298217
92.8571	0.000298575
93	0.000285288
93.1429	0.000285568
93.2857	0.000292701
93.4286	0.000297892
93.5714	0.000288913
93.7143	0.000301476
93.8571	0.000289064
94	0.000293564
94.1429	0.000284167
94.2857	0.0002887
94.4286	0.000282541
94.5714	0.000288176
94.7143	0.000298041
94.8571	0.000285963
95	0.000293352
95.1429	0.000287119
95.2857	0.000300571
95.4286	0.000276624
95.5714	0.000292207
95.7143	0.00028308
95.8571	0.000289977
96	0.000290472
96.1429	0.000292515
96.2857	0.000289275
96.4286	0.000295509
96.5714	0.000290923
96.7143	0.000295983
96.8571	0.000289586
97	0.000291303
97.1429	0.000299031
97.2857	0.000294548
97.4286	0.000293822
97.5714	0.000291518
97.7143	0.000282531
97.8571	0.00028884
98	0.000278663
98.1429	0.000281769
98.2857	0.000284221
98.4286	0.000291943
98.5714	0.000291089
98.7143	0.000287817
98.8571	0.000291963
99	0.000288242
99.1429	0.000285747
99.2857	0.000282182
99.4286	0.000280582
99.5714	0.000290506
99.7143	0.000283317
99.8571	0.000288454
100	0.00027479
100.143	0.000284181
100.286	0.000289027
100.429	0.000296276
100.571	0.000298095
100.714	0.000281186
100.857	0.000289253
101	0.000292774
101.143	0.00027967
101.286	0.000286749
101.429	0.000286262
101.571	0.00028964
101.714	0.000284113
101.857	0.000306883
102	0.000278696
102.143	0.000290597
102.286	0.000288425
102.429	0.000287478
102.571	0.000288214
102.714	0.000274632
102.857	0.000289341
103	0.000283675
103.143	0.000287834
103.286	0.000279735
103.429	0.000292964
103.571	0.000290647
103.714	0.000291664
103.857	0.000285323
104	0.000286268
104.143	0.000285206
104.286	0.000282305
104.429	0.000278599
104.571	0.000278574
104.714	0.000281748
104.857	0.000278709
105	0.000283121
105.143	0.000273221
105.286	0.000282003
105.429	0.00027573
105.571	0.000283855
105.714	0.00028217
105.857	0.00027526
106	0.00027714
106.143	0.00028544
106.286	0.000292492
106.429	0.000292925
106.571	0.000285029
106.714	0.000287713
106.857	0.000283921
107	0.000282827
107.143	0.000278165
107.286	0.000278123
107.429	0.000282144
107.571	0.000287612
107.714	0.000278686
107.857	0.000283538
108	0.000293959
108.143	0.000292218
108.286	0.000283028
108.429	0.000280251
108.571	0.00028966
108.714	0.000286027
108.857	0.000295804
109	0.000281868
109.143	0.000285181
109.286	0.000284957
109.429	0.00028096
109.571	0.000280626
109.714	0.000276311
109.857	0.00028066
110	0.000270099
110.143	0.000280879
110.286	0.000284384
110.429	0.000276829
110.571	0.000277734
110.714	0.000284685
110.857	0.000282243
111	0.000277186
111.143	0.000286589
111.286	0.000283857
111.429	0.000287328
111.571	0.000281781
111.714	0.00029345
111.857	0.000279775
112	0.000281858
112.143	0.000278865
112.286	0.000282016
112.429	0.000277806
112.571	0.000292514
112.714	0.000285268
112.857	0.000282738
113	0.00028266
113.143	0.000285545
113.286	0.000287261
113.429	0.000273701
113.571	0.000276267
113.714	0.000283706
113.857	0.000286314
114	0.000285898
114.143	0.000277178
114.286	0.000284936
114.429	0.000284118
114.571	0.000282982
114.714	0.000277213
114.857	0.00028346
115	0.000277011
115.143	0.000287047
115.286	0.000288659
115.429	0.000290339
115.571	0.000282978
115.714	0.000292741
115.857	0.00029569
116	0.000270243
116.143	0.000271715
116.286	0.00027461
116.429	0.000271731
116.571	0.00027442
116.714	0.000277326
116.857	0.000281179
117	0.000278703
117.143	0.000280922
117.286	0.000281539
117.429	0.000276583
117.571	0.0002844
117.714	0.0002838
117.857	0.000282893
118	0.000284131
118.143	0.000278495
118.286	0.000281603
118.429	0.000284169
118.571	0.000290492
118.714	0.000283993
118.857	0.000285408
119	0.00029547
119.143	0.000278028
119.286	0.000291053
119.429	0.000277856
119.571	0.000284142
119.714	0.000283467
119.857	0.000295272
120	0.000281032
120.143	0.000286233
120.286	0.000289002
120.429	0.000281259
120.571	0.000285738
120.714	0.000276525
120.857	0.000284112
121	0.000279661
121.143	0.000271631
121.286	0.000264006
121.429	0.000270703
121.571	0.000272726
121.714	0.000270757
121.857	0.000277023
122	0.000283764
122.143	0.000279807
122.286	0.000288417
122.429	0.000291679
122.571	0.000283663
122.714	0.000284964
122.857	0.000288322
123	0.000287972
123.143	0.000268439
123.286	0.000272647
123.429	0.000273842
123.571	0.000274203
123.714	0.000273231
123.857	0.000266472
124	0.000272981
124.143	0.000278685
124.286	0.00028307
124.429	0.000281042
124.571	0.000285548
124.714	0.000282379
124.857	0.000277586
125	0.000280928
125.143	0.000277827
125.286	0.000278342
125.429	0.000286201
125.571	0.00029187
125.714	0.00029154
125.857	0.000286362
126	0.000290321
126.143	0.000281456
126.286	0.000297196
126.429	0.000273612
126.571	0.000286936
126.714	0.00028324
126.857	0.000291735
127	0.000289059
127.143	0.000278722
127.286	0.000291244
127.429	0.000275072
127.571	0.000290061
127.714	0.00027965
127.857	0.000286488
128	0.000284679
128.143	0.000298202
128.286	0.000293554
128.429	0.000285183
128.571	0.000280935
128.714	0.0002946
128.857	0.000281376
129	0.000287658
129.143	0.000288635
129.286	0.000286784
129.429	0.000286546
129.571	0.000282887
129.714	0.000287188
129.857	0.000286439
130	0.000294197
130.143	0.00028729
130.286	0.000291885
130.429	0.000289207
130.571	0.000287098
130.714	0.000291086
130.857	0.000283615
131	0.000288825
131.143	0.000295143
131.286	0.00029084
131.429	0.000289846
131.571	0.000292921
131.714	0.000284967
131.857	0.000295387
132	0.000292809
132.143	0.000289856
132.286	0.000285235
132.429	0.00030317
132.571	0.000293627
132.714	0.000298719
132.857	0.000293992
133	0.000281614
133.143	0.000289979
133.286	0.000283892
133.429	0.000291022
133.571	0.000287759
133.714	0.00029561
133.857	0.000289818
134	0.000289998
134.143	0.000287273
134.286	0.000285969
134.429	0.000305644
134.571	0.000292854
134.714	0.000294672
134.857	0.000294477
135	0.000291524
135.143	0.000285901
135.286	0.000282106
135.429	0.000285208
135.571	0.000283614
135.714	0.000289019
135.857	0.000284852
136	0.000301096
136.143	0.000289816
136.286	0.000296208
136.429	0.000300975
136.571	0.000287759
136.714	0.000298283
136.857	0.000292392
137	0.000297853
137.143	0.000295981
137.286	0.000295295
137.429	0.000295543
137.571	0.000293747
137.714	0.000296653
137.857	0.000300214
138	0.000294374
138.143	0.000296329
138.286	0.000300475
138.429	0.000307863
138.571	0.00029479
138.714	0.0002939
138.857	0.000297003
139	0.000302186
139.143	0.000297593
139.286	0.00029356
139.429	0.000296522
139.571	0.000297265
139.714	0.00030125
139.857	0.000308264
140	0.000299344
140.143	0.000302672
140.286	0.000306019
140.429	0.000302041
140.571	0.000303058
140.714	0.000296428
140.857	0.000296467
141	0.000298029
141.143	0.000304134
141.286	0.000288755
141.429	0.00030315
141.571	0.00029627
141.714	0.000286013
141.857	0.000299338
142	0.000304314
142.143	0.000300591
142.286	0.000298402
142.429	0.000317271
142.571	0.00030476
142.714	0.000303623
142.857	0.000306085
143	0.000310788
143.143	0.0002959
143.286	0.000298673
143.429	0.000299788
143.571	0.000299026
143.714	0.000301726
143.857	0.000307622
144	0.000310948
144.143	0.000309465
144.286	0.000313849
144.429	0.000320378
144.571	0.000319579
144.714	0.000301717
144.857	0.000315331
145	0.000306867
145.143	0.000305069
145.286	0.000311255
145.429	0.000306987
145.571	0.000297552
145.714	0.000298328
145.857	0.000304795
146	0.00030659
146.143	0.000311694
146.286	0.000302858
146.429	0.000304957
146.571	0.000307149
146.714	0.000306089
146.857	0.00030308
147	0.000296141
147.143	0.000305243
147.286	0.000315059
147.429	0.000300472
147.571	0.000310205
147.714	0.000308259
147.857	0.000312391
148	0.000309441
148.143	0.000312884
148.286	0.000317359
148.429	0.00031316
148.571	0.000310879
148.714	0.000305937
148.857	0.000312886
149	0.000307538
149.143	0.00031616
149.286	0.000311245
149.429	0.000318446
149.571	0.000320488
149.714	0.000318287
149.857	0.000324682
150	0.000320088
150.143	0.00031903
150.286	0.000312303
150.429	0.000305202
150.571	0.000310342
150.714	0.000309511
150.857	0.000306242
151	0.000306498
151.143	0.000314055
151.286	0.000313226
151.429	0.00031853
151.571	0.000318967
151.714	0.000317732
151.857	0.000323122
152	0.000321597
152.143	0.000307609
152.286	0.00031928
152.429	0.000325249
152.571	0.000316373
152.714	0.000312468
152.857	0.000330082
153	0.000323465
153.143	0.000325334
153.286	0.000318204
153.429	0.0003241
153.571	0.000326943
153.714	0.000320759
153.857	0.000331306
154	0.000327867
154.143	0.000325365
154.286	0.000323447
154.429	0.000330215
154.571	0.000337227
154.714	0.000336242
154.857	0.00032841
155	0.000331691
155.143	0.000323863
155.286	0.000330164
155.429	0.000326972
155.571	0.000324559
155.714	0.000325439
155.857	0.000331161
156	0.000329756
156.143	0.000330486
156.286	0.000332152
156.429	0.000334052
156.571	0.000328757
156.714	0.000330095
156.857	0.000338145
157	0.000338552
157.143	0.000328624
157.286	0.000356644
157.429	0.00033358
157.571	0.000344679
157.714	0.00034474
157.857	0.000348992
158	0.000340712
158.143	0.000346828
158.286	0.00033567
158.429	0.00033862
158.571	0.000336009
158.714	0.000331039
158.857	0.000334997
159	0.000329898
159.143	0.000344566
159.286	0.000347044
159.429	0.000341023
159.571	0.000350517
159.714	0.000356289
159.857	0.000361145
160	0.000349207
160.143	0.000344487
160.286	0.000352984
160.429	0.000337808
160.571	0.0003481
160.714	0.000338931
160.857	0.000345121
161	0.000341817
161.143	0.000358145
161.286	0.00034341
161.429	0.000351974
161.571	0.000356434
161.714	0.000350267
161.857	0.000352289
162	0.000354542
162.143	0.000363036
162.286	0.000355958
162.429	0.000364384
162.571	0.000353011
162.714	0.000354246
162.857	0.000353017
163	0.000356325
163.143	0.000361587
163.286	0.00035954
163.429	0.0003581
163.571	0.000359288
163.714	0.000362939
163.857	0.000345361
164	0.000352751
164.143	0.000361105
